MSI_DO_YOU_AGREE,"Do you agree?"
MSI_SERVER_CONNECTION_FAILED,"Failed to Connect to Server."
MSI_UNABLE_TO_CONNECT_SERVER,"Disconnected from Server."
MSI_BANNED,"Disconnected from Server!"
MSI_SERVER_OFF,"Server Closed."
MSI_DOUBLE_LOGIN_PROHIBITED,"Someone has Logged in with this ID."
MSI_INCORRECT_USERID,"Unregistered ID. Please make sure you have a registered account and you have correctly typed in the user ID."
MSI_INCORRECT_PASSWORD,"Incorrect User ID or Password. Please try again."
MSI_ID_EXPIRED,"This ID is expired."
MSI_ACCESS_DENIED,"Rejected from Server."
MSI_CHARACTER_NAME_ALREADY_EXISTS,"Character Name already exists."
MSI_CHARACTER_CREATION_DENIED,"Character Creation is denied."
MSI_CANNOT_DELETE_CHARACTER,"Character Deletion is denied."
MSI_ENTER_ROOM_TITLE,"Please Enter Room Title."
MSI_BAD_SENTANGE,"Foul Language Detected."
MSI_ENTER_PASSWORD,"Please enter Password."
MSI_Enter_Password_more_than_4_char,"Please enter Password. Passwords must be at least 4 characters long."
MSI_DO_YOU_REALLY_WANT_TO_QUIT,"Are you sure that you want to quit?"
MSI_NAME_MUST_EXCEED_4_CHAR,"Passwords are at least 4 characters long. Please try again."
MSI_DELETE_CHARACTER,"Are you sure that you want to delete this character?"
MSI_BAD_NAME,"Foul Language Detected."
MSI_ENTER_NAME_MORE_THAN_4_CHAR,"Character Name must be at least 4 characters long."
MSI_LIST_COMMAND,"Command List: /h | /help"
MSI_EFFECT_ON,"Effects On"
MSI_EFFECT_OFF,"Effects Off"
MSI_VOLUME_OF_SOUND,"Sound Volume"
MSI_VOLUME_OF_BGM,"BGM Volume"
MSI_SOUND_ON,"Sound Effects On"
MSI_SOUND_OFF,"Sound Effects Off"
MSI_FRAME_SKIP_ON,"Frame Skip On"
MSI_FRAME_SKIP_OFF,"Frame Skip Off"
MSI_BGM_ON,"BGM On"
MSI_BGM_OFF,"BGM Off"
MSI_EXPLAIN_HELP,"/h or /help: Shows this Command Help List"
MSI_EXPLAIN_WHO,"/w or /who or /player or /who : wiew current the number of player"
MSI_EXPLAIN_MUSIC,"/music: Turns BGM On or Off"
MSI_EXPLAIN_SOUND,"/sound: Turns Sound Effects On or Off"
MSI_EXPLAIN_EFFECT,"/effect: Effects On or Off"
MSI_EXPLAIN_POS,"/where: Shows your present location"
MSI_EXPLAIN_FRAMESKIP,"/skip: Turns Frame Skip On or Off"
MSI_EXPLAIN_SOUNDVOLUME,"/v (0~127): Controls the volume of the Sound Effects"
MSI_EXPLAIN_BGMVOLUME,"/bv (0~127): Controls the volume of the BGM"
MSI_EXPLAIN_SAYISOLATION,"/ex (Character Name): Blocks whispering from the Character"
MSI_EXPLAIN_LIST_SAYISOLATION_CHAR,"/ex: View a list of Characters you have Blocked"
MSI_EXPLAIN_SAY_PERMIT,"/in (Character Name): Allows whispering from the Character"
MSI_EXPLAIN_SAY_PERMITALL,"/inall: Allows whispers from anyone"
MSI_EXPLAIN_SAY_ISOLATEALL,"/exall: Blocks whispers from everyone"
MSI_EXPLAIN_TIP1,"Right click on a character and select [Register as a Friend] to add a person to your Friend List."
MSI_EXPLAIN_TIP2,"F12 Brings up a Hotkey Window which allows you to drag and drop Recovery Items, Equipment and Skills into it for faster access."
MSI_NO_SAME_SENTANCE,"You can't type the same word/phrase more than 3 times."
MSI_NO_SEND_BECAUSE_INSULT,"Chat Filter: Yeah, uh, I don't think so buddy..."
MSI_CAN_DRAG_ITEM_OLNY_ONETIME,"You cannot overlap items on a window."
MSI_CANT_GET_ITEM_BECAUSE_WEIGHT,"You cannot carry more items because you are overweight."
MSI_CANT_GET_ITEM,"You cannot get the item."
MSI_DEAL_SECCESS,"The deal has successfully completed."
MSI_INSUFFICIENT_MONEY,"You do not have enough zeny."
MSI_OVER_WEIGHT,"You are over your Weight Limit."
MSI_DEAL_FAIL,"The deal has failed."
MSI_REFUSE_HEAR_ALL,"You've blocked whispers from everyone."
MSI_REQ_REFUSE_HEAR_ALL_FAIL,"You've failed to block all whispers."
MSI_HEAR_ALL,"You've allowed whispers from everyone."
MSI_REQ_HEAR_ALL_FAIL,"You've failed to allow all whispers."
MSI_NO_REFUSE_HEAR_LIST,"You have no Block List."
